월,벤더,제품,파트너사,수량,단가,매출액,목표액
2025-04,Cisco,스위치 C9200,한국IT솔루션,5,3200000,16000000,20000000
2025-04,Cisco,라우터 ISR4321,테크넷코리아,2,5800000,11600000,15000000
2025-04,Zebra,ZT411 프린터,디지털파트너,8,1800000,14400000,12000000
2025-04,Axis,P3245-V 카메라,세이프시스템,20,450000,9000000,10000000
2025-04,Citrix,Virtual Apps,클라우드원,30,280000,8400000,8000000
2025-04,Cisco,Meraki MR45,한국IT솔루션,10,1200000,12000000,10000000
2025-04,Zebra,TC52 단말기,모바일넷,15,1500000,22500000,20000000
2025-04,Vertiv,UPS 10kVA,데이터센터코리아,3,8000000,24000000,25000000
2025-04,Cisco,스위치 C9200,테크넷코리아,3,3200000,9600000,10000000
2025-04,Axis,P1448-LE 카메라,세이프시스템,5,850000,4250000,5000000
2025-04,Zebra,ZD420 프린터,디지털파트너,12,650000,7800000,6000000
2025-04,Cisco,Meraki MS120,클라우드원,4,980000,3920000,4000000
