제품코드,제품명,벤더,현재고,최소재고,단위,단가,발주리드타임(일)
C9200-24P,Cisco 스위치 9200 24포트,Cisco,3,5,EA,3200000,14
ISR4321,Cisco 라우터 4321,Cisco,1,3,EA,5800000,21
ZT411-200,Zebra 산업용 프린터 ZT411,Zebra,12,5,EA,1800000,7
TC52-HC,Zebra 모바일 단말 TC52,Zebra,2,8,EA,1500000,10
P3245-V,Axis IP 카메라 P3245,Axis,45,20,EA,450000,5
MR45-HW,Cisco Meraki AP MR45,Cisco,0,10,EA,1200000,14
MS120-8FP,Cisco Meraki 스위치 MS120,Cisco,7,10,EA,980000,14
CVAD-U,Citrix Virtual Apps 라이선스,Citrix,200,50,License,280000,1
G10kVA,Vertiv UPS 10kVA,Vertiv,1,2,EA,8000000,30
ZD420-D,Zebra 데스크탑 프린터 ZD420,Zebra,18,10,EA,650000,7
P1448-LE,Axis 파노라마 카메라 P1448,Axis,6,5,EA,850000,5
